"Subtotal","Shipping","Taxes","Total","Discount Amount","Lineitem quantity","Lineitem price","Refunded Amount","Outstanding Balance","Lineitem discount"
2,0,0.12,2.12,0,1,1,0,0,0
35,0,1.93,36.93,0,1,35,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
10,0,0.56,10.56,0,1,3,0,0,0
6.25,0,0.34,6.59,0,1,6.25,0,0,0
16.25,0,0.89,17.14,0,1,8.25,0,0,0
35.25,0,1.96,37.21,0,1,3.75,0,0,0
11.5,0,0.64,12.14,0,1,8,0,0,0
38.5,0,2.13,40.63,0,1,5,0,0,0
62.5,0,3.44,65.94,0,1,6.5,0,29.54,0
12.5,0,0.7,13.2,0,1,5,0,0,0
46,0,2.54,48.54,5,1,21,0,0,0
42.99,0,2.36,45.35,0,1,18.99,0,0,0
50.99,0,2.81,53.8,0,1,12.99,0,0,0
24,0,1.32,25.32,0,1,24,0,0,0
22,0,1.22,23.22,0,1,19,0,0,0
6.25,0,0.34,6.59,0,1,6.25,0,0,0
56.49,0,3.11,59.6,0,1,5,0,0,0
38,0,2.1,40.1,0,1,5,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
17.48,0,0.97,18.45,5,1,11.5,0,0,0
10,0,0.56,10.56,0,1,3,0,0,0
11,0,0.61,11.61,0,1,4,0,0,0
37.75,0,2.07,39.82,5,1,6,0,0,0
22,0,1.23,23.23,0,1,5,0,0,0
74.5,0,4.12,78.62,0,1,19,0,0,0
83.99,0,4.62,88.61,0,1,26,0,0,0
27,0,1.49,28.49,0,1,27,0,0,0
36,0,1.98,37.98,0,1,18,0,0,0
38,7.19,0,45.19,0,2,19,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
9,0,0.5,9.5,0,1,9,0,0,0
12.99,0,0.71,13.7,0,1,12.99,0,0,0
58.75,0,3.24,61.99,0,1,3.5,0,0,0
44,0,2.44,46.44,0,1,9,0,0,0
8,0,0.44,8.44,0,1,8,0,0,0
25,0,1.38,26.38,0,1,25,0,0,0
9,0,0.5,9.5,0,1,9,0,0,0
40,0,2.2,42.2,0,1,28,0,0,0
25,0,0,25,0,1,25,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
25,0,1.38,26.38,0,1,25,0,0,0
121.99,0,6.72,128.71,0,1,26,0,0,0
15.75,0,0.88,16.63,0,1,3.75,0,0,0
10.29,0,0.56,10.85,0,1,6.49,0,0,0
13.93,0,0.75,14.68,0,1,6.49,0,0,0
32.49,0,1.8,34.29,0,1,6.49,0,0,0
6.49,0,0.35,6.84,0,1,6.49,0,0,0
11.25,0,0.62,11.87,0,1,6.25,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
118.98,0,6.55,125.53,0,1,15,0,0,0
75.48,0,4.14,79.62,0,1,28,0,0,0
8.75,0,0.49,9.24,0,1,5,0,0,0
21.49,0,1.19,22.68,0,1,6.49,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
13.98,0,0.76,14.74,0,1,6.99,0,0,0
10.99,0,0.6,11.59,0,1,6.49,0,0,0
60,0,3.3,63.3,0,5,6,0,0,0
6.49,0,0.35,6.84,0,1,6.49,0,0,0
6.49,0,0.35,6.84,0,1,6.49,0,0,0
78,0,4.3,82.3,0,1,5,0,0,0
4,0,0.22,4.22,0,1,4,0,0,0
40,0,2.22,42.22,0,1,3,0,0,0
25.49,0,1.41,26.9,0,1,16.99,0,0,0
27,0,1.49,28.49,0,1,27,0,0,0
30,0,1.65,31.65,0,1,30,0,0,0
34,0,1.87,35.87,6,1,40,0,0,0
60,0,3.3,63.3,0,1,60,0,0,0
3.38,0,0.19,3.57,0,2,1.69,0,0,0
38.49,0,2.01,40.5,0,1,6,0,0,0
21,0,1.16,22.16,0,1,21,0,0,0
10.5,0,0.58,11.08,0,1,10.5,0,0,0
1.99,0,0.11,2.1,0,1,1.99,0,0,0
30,0,1.65,31.65,0,1,30,0,0,0
69.37,0,3.83,73.2,0,2,1.69,0,0,0
